Name,Games Played,MIN,PTS,FG%,3P%,FT%,REB,AST,STL,BLK,TOV,PF,EFF,AST/TOV,STL/TOV,Age,Birth_Place,College,Experience,Height,Pos,Team,Playoffs,Weight
Allen Crabbe,51,683,168,41.2,35.3,75,73,39,19,15,15,74,205,2.6,1.27,23,us,University of California,1,195,SG,POR,1,94.5
Alonzo Gee,54,661,241,46.8,37.1,70.1,94,25,35,7,33,58,247,0.76,1.06,28,us,University of Alabama,5,195,SF,POR,1,101.25
Amar'e Stoudemire,59,1244,680,55.7,0,72,329,45,29,38,78,161,774,0.58,0.37,0,NULL,NULL,0,0,NULL,NULL,0,0
Amir Johnson,75,1979,694,57.4,41.3,61.2,456,117,44,59,110,225,989,1.06,0.4,28,us,NULL,9,202.5,PF,TOR,1,108
Anderson Varejao,26,636,255,55.5,0,73.3,170,35,19,16,35,58,359,1,0.54,0,NULL,NULL,0,0,NULL,NULL,0,0
Andre Dawkins,4,22,3,16.7,16.7,0,2,1,0,0,1,3,0,1,0,24,us,Duke University,0,192.5,SG,MIA,0,96.75
Andre Drummond,82,2502,1130,51.4,0,38.9,1104,55,73,153,120,285,1705,0.46,0.61,22,us,University of Connecticut,2,207.5,C,DET,0,125.55
Andre Iguodala,77,2069,604,46.6,34.9,59.6,257,228,89,25,88,100,804,2.59,1.01,31,us,University of Arizona,10,195,SF,GSW,1,96.75
Andre Miller,81,1253,355,50,20.6,75.3,153,284,32,6,104,103,562,2.73,0.31,39,us,University of Utah,15,187.5,PG,WAS,1,90
Andre Roberson,67,1286,228,45.8,24.7,47.9,255,70,53,29,46,141,455,1.52,1.15,24,us,University of Colorado,1,197.5,SG,OKC,0,94.5
Andrea Bargnani,29,785,430,45.4,36.6,81.3,127,46,2,27,42,53,373,1.1,0.05,30,it,NULL,8,210,C,NYK,0,110.25
Andrei Kirilenko,7,36,3,0,0,75,8,1,1,0,1,1,6,1,1,34,ru,NULL,12,202.5,SF,NJN,1,99
Andrew Bogut,67,1583,422,56.3,0,52.4,543,180,39,113,106,188,1016,1.7,0.37,31,au,University of Utah,9,210,C,GSW,1,117
Andrew Nicholson,40,492,194,43.7,31.7,60,82,22,6,12,24,51,175,0.92,0.25,26,ca,St. Bonaventure University,2,202.5,PF,ORL,0,112.5
Andrew Wiggins,82,2969,1387,43.7,31,76,374,170,86,50,177,190,1138,0.96,0.49,0,NULL,NULL,0,0,NULL,NULL,0,0
Anthony Bennett,57,894,298,42.1,30.4,64.1,216,48,27,16,36,87,374,1.33,0.75,22,ca,"University of Nevada, Las Vegas",1,200,PF,MIN,0,110.25
Anthony Davis,68,2455,1656,53.5,8.3,80.5,696,149,100,200,95,141,2059,1.57,1.05,22,us,University of Kentucky,2,205,PF,NOH,1,113.85
Anthony Morrow,74,1806,790,46.3,43.4,88.8,195,60,54,11,38,135,732,1.58,1.42,30,us,Georgia Institute of Technology,6,192.5,SG,OKC,0,94.5
Anthony Tolliver,76,1433,482,41,36.6,78.3,236,59,24,16,51,137,519,1.16,0.47,0,NULL,NULL,0,0,NULL,NULL,0,0
Archie Goodwin,41,535,231,39.3,29.3,73.5,74,44,18,9,48,55,184,0.92,0.38,21,us,University of Kentucky,1,192.5,SG,PHO,0,90
Arinze Onuaku,6,68,27,85.7,0,37.5,21,4,1,3,2,6,47,2,0.5,28,us,Syracuse University,1,202.5,C,MIN,0,114.75
Aron Baynes,70,1122,461,56.6,25,86.5,318,35,16,22,65,162,631,0.54,0.25,29,nz,Washington State University,2,205,C,SAS,1,117
Arron Afflalo,78,2502,1035,42.4,35.4,84.3,247,129,41,7,116,167,803,1.11,0.35,30,us,"University of California, Los Angeles",7,192.5,SG,POR,1,94.5
Austin Daye,34,344,129,35.5,33.8,83.3,75,17,12,5,23,39,123,0.74,0.52,27,us,Gonzaga University,5,207.5,SF,SAS,1,99
Austin Rivers,76,1563,530,40.9,29.8,67.5,152,155,48,14,65,146,500,2.39,0.74,23,us,Duke University,2,190,SG,NOH,1,90
Avery Bradley,77,2428,1071,42.8,35.2,79,241,135,82,15,109,177,835,1.24,0.75,25,us,University of Texas at Austin,4,185,SG,BOS,1,81
Ben Gordon,56,790,349,43.7,36.1,83.6,63,50,14,1,55,60,245,0.91,0.26,32,gb,University of Connecticut,10,187.5,SG,ORL,0,90
Ben McLemore,82,2670,996,43.7,35.8,81.3,241,140,77,19,138,219,837,1.01,0.56,22,us,University of Kansas,1,192.5,SG,SAC,0,87.75
Beno Udrih,79,1494,605,48.7,26.8,85.3,143,220,46,8,89,88,659,2.47,0.52,0,NULL,NULL,0,0,NULL,NULL,0,0
Bernard James,16,158,44,44.4,0,87,39,4,2,15,6,17,80,0.67,0.33,30,us,Florida State University,2,205,C,DAL,1,108
Bismack Biyombo,64,1243,304,54.3,0,58.3,407,16,18,99,52,140,634,0.31,0.35,23,cd,NULL,3,202.5,C,CHA,0,114.75
Blake Griffin,67,2356,1469,50.2,40,72.8,508,354,63,35,152,196,1591,2.33,0.41,26,us,University of Oklahoma,4,205,PF,LAC,1,112.95
Bojan Bogdanovic,78,1854,700,45.3,35.5,82.1,213,68,34,9,78,104,612,0.87,0.44,26,ba,NULL,0,200,SF,NJN,1,97.2
Boris Diaw,81,1984,708,46,32,77.4,348,233,36,23,126,148,860,1.85,0.29,33,fr,NULL,11,200,PF,SAS,1,112.5
Bradley Beal,63,2107,962,42.7,40.9,78.3,241,194,76,18,123,136,844,1.58,0.62,22,us,University of Florida,2,192.5,SG,WAS,1,93.15
Brandan Wright,75,1449,544,64.2,0,69.6,321,41,50,94,34,102,852,1.21,1.47,0,NULL,NULL,0,0,NULL,NULL,0,0
Brandon Bass,82,1929,866,50.4,28.1,79,398,104,41,32,83,140,974,1.25,0.49,30,us,Louisiana State University,9,200,PF,BOS,1,112.5
Brandon Davies,27,423,142,40.1,23.5,64.9,83,30,18,7,29,59,156,1.03,0.62,24,us,Brigham Young University,1,205,PF,PHI,0,108
Brandon Jennings,41,1173,632,40.1,36,83.9,104,272,44,4,90,64,618,3.02,0.49,26,us,NULL,5,182.5,PG,DET,0,76.5
Brandon Knight,63,2035,1070,42.2,38.9,87.4,244,330,90,10,189,114,1014,1.75,0.48,24,us,University of Kentucky,3,187.5,SG,PHO,0,85.05
Brandon Rush,33,271,30,20.4,11.1,45.5,41,12,5,12,11,27,40,1.09,0.46,30,us,University of Kansas,6,195,SG,GSW,1,99
Brendan Haywood,22,119,35,46.7,0,53.8,29,2,2,10,10,17,46,0.2,0.2,36,us,University of North Carolina,12,210,C,CLE,1,120.6
Brian Roberts,72,1330,480,38.9,32.1,89.2,109,162,33,6,57,75,449,2.84,0.58,30,us,University of Dayton,2,182.5,PG,CHA,0,77.85
Brook Lopez,72,2100,1236,51.3,10,81.4,535,50,43,126,104,206,1354,0.48,0.41,27,us,Stanford University,6,210,C,NJN,1,123.75
Bruno Caboclo,8,23,10,33.3,66.7,0,2,0,0,1,4,3,1,0,0,20,br,NULL,0,202.5,SF,TOR,1,98.1
Bryce Cotton,15,159,80,42,35,83.3,18,15,4,0,12,6,62,1.25,0.33,23,us,Providence College,0,182.5,PG,UTA,0,74.25
C.J. Watson,57,1422,570,43.4,40,82.6,163,208,57,9,100,107,642,2.08,0.57,31,us,University of Tennessee,7,185,PG,IND,0,78.75
Cameron Bairstow,18,64,10,21.4,0,80,8,1,2,1,3,8,7,0.33,0.67,25,au,University of New Mexico,0,202.5,PF,CHI,1,112.5
